course,date,start_time,end_time
1CW/Lab/Computing (see rota)[6]C (),14/11/2024,11:00,13:00
1CW/Lab/Computing (see rota)[6]C (),14/11/2024,14:00,17:00
1CW/Structural Design (see lab rota)[6]L (Lecture Room 3A),15/11/2024,09:00,11:00
1CW/Lab/Computing (see rota)[6]C (),15/11/2024,09:00,11:00
1P2/Structures[5]L Allwood(Constance Tipper),15/11/2024,11:00,12:00
1P4/Mathematical Methods[2]L Lasenby(Constance Tipper),15/11/2024,12:00,13:00
1CW/Lab/Computing (see rota)[6]C (),15/11/2024,14:00,17:00
1CW/Lab/Computing (see rota)[6]C (),18/11/2024,09:00,11:00
1CW/Structural Design (see lab rota)[6]L (Lecture Room 3A),18/11/2024,09:00,11:00
1P1/Mechanics[6]L Butlin/Talbot(Constance Tipper),18/11/2024,11:00,12:00
1P4/Mathematical Methods[2]L Lasenby(Constance Tipper),18/11/2024,12:00,13:00
1CW/Lab/Computing (see rota)[6]C (),18/11/2024,14:00,17:00
1PX/Engineer in Society[6]L Minshall(Constance Tipper),19/11/2024,09:00,10:00
1P1/Mechanics[6]L Butlin/Talbot(Constance Tipper),19/11/2024,10:00,11:00
1CW/Lab/Computing (see rota)[6]C (),19/11/2024,11:00,13:00
1CW/Structural Design (see lab rota)[6]L (Lecture Room 3A),19/11/2024,11:00,13:00
1CW/Industrial Placements workshop[3]L Houghton(Lecture Theatre 1),19/11/2024,13:00,14:00
1CW/Lab/Computing (see rota)[6]C (),19/11/2024,14:00,17:00
1P3/Analysis of Circuits[3]L Wilkinson(Constance Tipper),20/11/2024,09:00,10:00
1P2/Structures[6]L Allwood(Constance Tipper),20/11/2024,10:00,11:00
1P3/Analysis of Circuits[4]L Wilkinson(Constance Tipper),21/11/2024,09:00,10:00
1PX/Engineering Applications[3]L Long_PJG(Constance Tipper),21/11/2024,10:00,11:00
1CW/Lab/Computing (see rota)[7]C (),21/11/2024,11:00,13:00
1CW/Structural Design (see lab rota)[7]L (Lecture Room 3A),21/11/2024,11:00,13:00
1CW/Lab/Computing (see rota)[7]C (),21/11/2024,14:00,17:00
1CW/Structural Design (see lab rota)[7]L (Lecture Room 3A),22/11/2024,09:00,11:00
1CW/Lab/Computing (see rota)[7]C (),22/11/2024,09:00,11:00
1P2/Structures[6]L Allwood(Constance Tipper),22/11/2024,11:00,12:00
1P4/Mathematical Methods[3]L Lasenby(Constance Tipper),22/11/2024,12:00,13:00
1CW/Lab/Computing (see rota)[7]C (),22/11/2024,14:00,17:00
1CW/Lab/Computing (see rota)[7]C (),25/11/2024,09:00,11:00
1CW/Structural Design (see lab rota)[7]L (Lecture Room 3A),25/11/2024,09:00,11:00
1P1/Mechanics[7]L Butlin/Talbot(Constance Tipper),25/11/2024,11:00,12:00
1P4/Mathematical Methods[3]L Lasenby(Constance Tipper),25/11/2024,12:00,13:00
1CW/Lab/Computing (see rota)[7]C (),25/11/2024,14:00,17:00
1PX/Engineer in Society[7]L Minshall(Constance Tipper),26/11/2024,09:00,10:00
1P1/Mechanics[7]L Butlin/Talbot(Constance Tipper),26/11/2024,10:00,11:00
1CW/Structural Design (see lab rota)[7]L (Lecture Room 3A),26/11/2024,11:00,13:00
1CW/Lab/Computing (see rota)[7]C (),26/11/2024,11:00,13:00
1CW/Industrial Placements workshop[4]L Houghton(Lecture Theatre 1),26/11/2024,13:00,14:00
1CW/Lab/Computing (see rota)[7]C (),26/11/2024,14:00,17:00
1P3/Analysis of Circuits[4]L Wilkinson(Constance Tipper),27/11/2024,09:00,10:00
1P3/Analysis of Circuits[5]L Wilkinson(Constance Tipper),28/11/2024,09:00,10:00
1PX/Engineering Applications[4]L Long_PJG(Constance Tipper),28/11/2024,10:00,11:00
1CW/Structural Design (see lab rota)[8]L (Lecture Room 3A),28/11/2024,11:00,13:00
1CW/Lab/Computing (see rota)[8]C (),28/11/2024,11:00,13:00
1CW/Lab/Computing (see rota)[8]C (),28/11/2024,14:00,17:00
1CW/Lab/Computing (see rota)[8]C (),29/11/2024,09:00,11:00
1CW/Structural Design (see lab rota)[8]L (Lecture Room 3A),29/11/2024,09:00,11:00
1P4/Mathematical Methods[4]L Lasenby(Constance Tipper),29/11/2024,12:00,13:00
1CW/Lab/Computing (see rota)[8]C (),29/11/2024,14:00,17:00
1CW/Lab/Computing (see rota)[8]C (),02/12/2024,09:00,11:00
1CW/Structural Design (see lab rota)[8]L (Lecture Room 3A),02/12/2024,09:00,11:00
1P1/Mechanics[8]L Butlin/Talbot(Constance Tipper),02/12/2024,11:00,12:00
1P4/Mathematical Methods[4]L Lasenby(Constance Tipper),02/12/2024,12:00,13:00
1CW/Lab/Computing (see rota)[8]C (),02/12/2024,14:00,17:00
1PX/Engineer in Society[8]L Minshall(Constance Tipper),03/12/2024,09:00,10:00
1P1/Mechanics[8]L Butlin/Talbot(Constance Tipper),03/12/2024,10:00,11:00
1CW/Lab/Computing (see rota)[8]C (),03/12/2024,11:00,13:00
1CW/Structural Design (see lab rota)[8]L (Lecture Room 3A),03/12/2024,11:00,13:00
1CW/Lab/Computing (see rota)[8]C (),03/12/2024,14:00,17:00
1P3/Analysis of Circuits[5]L Wilkinson(Constance Tipper),04/12/2024,09:00,10:00
1P4/Computing[1]L Mancini(Constance Tipper),23/01/2025,09:00,09:50
1CW/Lent Lab briefing[1]C Scott(Constance Tipper),23/01/2025,09:50,10:10
1P2/Materials[1]L Markaki/Seita(Constance Tipper),23/01/2025,10:10,11:00
1CW/Structural Design (see lab rota)[1]L (Lecture Room 3A),23/01/2025,11:00,13:00
1CW/Lent Lab/Engineering Drawing (see rota)[1]C (),23/01/2025,11:00,13:00
1CW/Lent Lab/Engineering Drawing (see rota)[1]C (),23/01/2025,14:00,17:00
1CW/Lent Lab/Engineering Drawing (see rota)[1]C (),24/01/2025,09:00,11:00
1P2/Structures[1]L McRobie(Constance Tipper),24/01/2025,11:00,12:00
1P3/Analysis of Circuits (AC Power)[1]L Goetz(Constance Tipper),24/01/2025,12:00,13:00
1CW/Lent Lab/Engineering Drawing (see rota)[1]C (),24/01/2025,14:00,17:00
1CW/Structural Design (see lab rota)[1]L (Lecture Room 3A),27/01/2025,09:00,11:00
1CW/Lent Lab/Computing (see rota)[1]C (),27/01/2025,09:00,11:00
1P3/Analysis of Circuits[1]L Wilkinson(Constance Tipper),27/01/2025,11:00,12:00
1P1/Thermofluid Mechanics[1]L Atkins/Longley(Constance Tipper),27/01/2025,12:00,13:00
1CW/Engineering Drawing[1]L Crilly(Constance Tipper),27/01/2025,13:00,13:30
1CW/Lent Lab/Computing (see rota)[1]C (),27/01/2025,14:00,17:00
1PX/IA Design Challenge[1]L Crilly(Constance Tipper),28/01/2025,09:00,10:00
1P3/Analysis of Circuits (AC Power)[1]L Goetz(Constance Tipper),28/01/2025,10:00,11:00
1CW/Lent Lab/Computing (see rota)[1]C (),28/01/2025,11:00,13:00
1CW/Lent Lab/Computing (see rota)[1]C (),28/01/2025,14:00,17:00
1CW/Structural Design (see lab rota)[1]L (Lecture Room 3A),28/01/2025,14:00,16:00
1P3/Analysis of Circuits[1]L Wilkinson(Constance Tipper),29/01/2025,09:00,10:00
1P1/Thermofluid Mechanics[1]L Atkins/Longley(Constance Tipper),29/01/2025,10:00,11:00
1PX/IA Design Challenge[1]L Crilly(Constance Tipper),29/01/2025,12:00,13:00
1P2/Structures[1]L McRobie(Constance Tipper),30/01/2025,09:00,10:00
1P2/Materials[1]L Markaki/Seita(Constance Tipper),30/01/2025,10:00,11:00
1CW/Structural Design (see lab rota)[2]L (Lecture Room 3A),30/01/2025,11:00,13:00
1CW/Lent Lab/Engineering Drawing (see rota)[2]C (),30/01/2025,11:00,13:00
1CW/Lent Lab/Engineering Drawing (see rota)[2]C (),30/01/2025,14:00,17:00
1CW/Structural Design (see lab rota)[1]L (Lecture Room 3A),30/01/2025,14:00,16:00
1CW/Lent Lab/Engineering Drawing (see rota)[2]C (),31/01/2025,09:00,11:00
1P2/Structures[2]L McRobie(Constance Tipper),31/01/2025,11:00,12:00
1P3/Analysis of Circuits (AC Power)[2]L Goetz(Constance Tipper),31/01/2025,12:00,13:00
1CW/Lent Lab/Engineering Drawing (see rota)[2]C (),31/01/2025,14:00,17:00
1CW/Structural Design (see lab rota)[2]L (Lecture Room 3A),03/02/2025,09:00,11:00
1CW/Lent Lab/Computing (see rota)[2]C (),03/02/2025,09:00,11:00
1P3/Analysis of Circuits[2]L Wilkinson(Constance Tipper),03/02/2025,11:00,12:00
1P1/Thermofluid Mechanics[2]L Atkins/Longley(Constance Tipper),03/02/2025,12:00,13:00
1CW/Lent Lab/Computing (see rota)[2]C (),03/02/2025,14:00,17:00
1CW/Structural Design (see lab rota)[1]L (Lecture Room 3A),03/02/2025,14:00,16:00
1PX/IA Design Challenge[2]L Crilly(Constance Tipper),04/02/2025,09:00,10:00
1P3/Analysis of Circuits (AC Power)[2]L Goetz(Constance Tipper),04/02/2025,10:00,11:00
1CW/Lent Lab/Computing (see rota)[2]C (),04/02/2025,11:00,13:00
1CW/Structural Design (see lab rota)[2]L (Lecture Room 3A),04/02/2025,14:00,16:00
1CW/Lent Lab/Computing (see rota)[2]C (),04/02/2025,14:00,17:00
1P3/Analysis of Circuits[2]L Wilkinson(Constance Tipper),05/02/2025,09:00,10:00
1P1/Thermofluid Mechanics[2]L Atkins/Longley(Constance Tipper),05/02/2025,10:00,11:00
1PX/IA Design Challenge[2]L Crilly(Constance Tipper),05/02/2025,12:00,13:00
1P2/Structures[2]L McRobie(Constance Tipper),06/02/2025,09:00,10:00
1P2/Materials[2]L Markaki/Seita(Constance Tipper),06/02/2025,10:00,11:00
1CW/Structural Design (see lab rota)[3]L (Lecture Room 3A),06/02/2025,11:00,13:00
1CW/Lent Lab/Engineering Drawing (see rota)[3]C (),06/02/2025,11:00,13:00
1CW/Lent Lab/Engineering Drawing (see rota)[3]C (),06/02/2025,14:00,17:00
1CW/Structural Design (see lab rota)[1]L (Lecture Room 3A),07/02/2025,09:00,11:00
1CW/Lent Lab/Engineering Drawing (see rota)[3]C (),07/02/2025,09:00,11:00
1P2/Structures[3]L McRobie(Constance Tipper),07/02/2025,11:00,12:00
1P3/Electromagnetics[1]L Joyce(Constance Tipper),07/02/2025,12:00,13:00
1CW/Lent Lab/Engineering Drawing (see rota)[3]C (),07/02/2025,14:00,17:00
1CW/Structural Design (see lab rota)[3]L (Lecture Room 3A),10/02/2025,09:00,11:00
1CW/Lent Lab/Computing (see rota)[3]C (),10/02/2025,09:00,11:00
1PX/Engineering Applications[1]L Long_PJG(Constance Tipper),10/02/2025,11:00,12:00
1P1/Thermofluid Mechanics[3]L Atkins/Longley(Constance Tipper),10/02/2025,12:00,13:00
1CW/Lent Lab/Computing (see rota)[3]C (),10/02/2025,14:00,17:00
1P4/Mathematical Methods[1]L Ahmadian(Constance Tipper),11/02/2025,09:00,10:00
1P3/Electromagnetics[1]L Joyce(Constance Tipper),11/02/2025,10:00,11:00
1CW/Lent Lab/Computing (see rota)[3]C (),11/02/2025,11:00,13:00
1CW/Lent Lab/Computing (see rota)[3]C (),11/02/2025,14:00,17:00
1CW/Structural Design (see lab rota)[3]L (Lecture Room 3A),11/02/2025,14:00,16:00
1P2/Materials[1]L Seita(Constance Tipper),12/02/2025,09:00,10:00
1P1/Thermofluid Mechanics[3]L Atkins/Longley(Constance Tipper),12/02/2025,10:00,11:00
